aX,aY,aZ,gX,gY,gZ
0.330,-0.967,0.198,-2.502,4.639,2.258
0.786,-0.737,-0.158,29.968,20.081,5.127
0.732,-0.745,-0.183,25.024,26.611,4.761
0.697,-0.754,-0.145,24.841,39.124,1.892
0.691,-0.769,-0.099,25.635,53.894,-4.761
0.653,-0.725,-0.085,23.010,65.308,-10.254
0.582,-0.652,-0.117,18.311,76.721,-12.085
0.494,-0.699,-0.110,16.968,93.018,-11.719
0.483,-0.702,-0.084,20.874,108.276,-14.954
0.438,-0.659,-0.083,23.865,117.920,-21.973
0.379,-0.614,-0.087,22.705,125.549,-29.236
0.311,-0.573,-0.091,23.132,131.226,-36.316
0.273,-0.542,-0.058,28.625,130.676,-44.800
0.248,-0.528,-0.008,32.654,117.432,-53.833
0.180,-0.495,-0.006,27.893,86.792,-61.462
0.043,-0.416,-0.042,16.418,45.044,-68.054
-0.092,-0.342,-0.067,5.005,6.897,-74.280
-0.226,-0.261,-0.070,-6.348,-22.156,-78.552
-0.409,-0.147,-0.053,-19.348,-44.128,-78.369
-0.615,-0.048,-0.022,-32.837,-54.993,-71.533
-0.811,0.027,0.047,-43.823,-52.979,-56.519
-0.958,0.100,0.134,-50.049,-43.823,-33.142
-1.055,0.175,0.236,-53.101,-33.264,-1.282
-1.113,0.258,0.337,-54.260,-23.682,38.208
-1.122,0.292,0.426,-52.002,-16.602,81.055
-1.056,0.279,0.490,-48.828,-13.184,122.864
-0.876,0.346,0.564,-50.537,-17.334,159.546
-0.681,0.511,0.639,-55.359,-32.532,189.392
-0.473,0.650,0.710,-61.340,-59.509,215.637
-0.296,0.744,0.758,-73.059,-94.849,244.629
-0.162,0.739,0.782,-85.754,-134.155,274.597
-0.087,0.753,0.790,-102.417,-171.570,303.833
-0.068,0.841,0.808,-119.690,-202.148,332.642
0.109,0.778,0.847,-138.489,-218.872,365.234
0.365,0.756,0.929,-149.963,-221.863,389.526
0.609,0.767,0.975,-146.606,-212.341,404.785
0.840,0.824,1.023,-138.611,-196.167,410.339
1.103,0.843,1.112,-131.836,-172.791,410.339
1.382,0.852,1.247,-130.127,-143.311,410.706
1.702,0.851,1.428,-130.676,-109.009,411.682
2.058,0.815,1.604,-124.695,-71.716,407.837
2.391,0.753,1.730,-107.239,-38.513,395.081
2.608,0.668,1.745,-82.947,-16.907,374.329
2.772,0.648,1.671,-57.007,-7.751,350.891
2.935,0.666,1.542,-30.762,-2.075,326.477
3.086,0.705,1.378,-3.784,8.667,304.993
3.300,0.667,1.211,27.527,26.733,285.889
3.596,0.599,1.108,55.664,38.147,263.794
3.775,0.580,1.016,64.453,27.466,236.938
3.825,0.592,0.862,57.861,3.784,203.064
3.855,0.604,0.686,52.612,-13.794,161.743
3.863,0.656,0.531,49.500,-24.902,125.916
3.720,0.642,0.436,33.325,-31.494,96.252
3.740,0.664,0.036,3.540,-24.841,65.002
3.597,0.607,-0.095,-13.611,-11.597,26.733
3.423,0.603,-0.158,-23.926,15.808,-23.743
3.255,0.576,0.044,-38.635,49.194,-87.585
3.101,0.767,-0.319,-77.393,78.613,-152.466
2.825,0.929,-0.136,-77.026,81.909,-210.388
2.568,1.000,-0.178,-76.233,102.051,-244.751
2.541,1.021,-0.027,-67.383,132.202,-280.090
2.414,1.105,0.037,-65.430,141.602,-303.406
2.348,1.144,0.052,-75.134,141.541,-318.726
2.281,1.119,0.081,-85.022,137.695,-328.125
2.204,1.064,0.124,-93.750,128.174,-338.989
2.091,1.033,0.147,-103.821,112.427,-353.699
1.924,1.011,0.157,-114.136,93.689,-370.300
1.717,0.996,0.167,-123.352,76.172,-386.108
1.511,0.974,0.192,-131.348,63.293,-399.841
1.302,0.938,0.230,-138.611,56.824,-409.241
1.099,0.884,0.255,-145.081,55.542,-413.269
0.916,0.815,0.270,-148.499,60.303,-413.452
0.765,0.744,0.300,-148.010,71.716,-411.438
0.648,0.689,0.343,-145.081,88.928,-404.968
0.523,0.649,0.380,-142.151,109.436,-394.714
0.397,0.625,0.410,-139.282,132.446,-383.789
0.311,0.605,0.454,-136.597,156.494,-373.901
0.217,0.616,0.486,-135.071,173.523,-362.183
0.107,0.622,0.532,-135.803,181.580,-346.680
0.002,0.650,0.559,-140.320,179.016,-326.111
-0.152,0.655,0.553,-148.376,168.518,-296.265
-0.241,0.674,0.602,-154.114,154.114,-260.376
-0.372,0.678,0.701,-154.053,128.357,-221.558
-0.475,0.655,0.831,-155.151,91.431,-180.237
-0.455,0.691,0.968,-163.574,39.429,-136.230
-0.515,0.668,0.935,-182.251,-27.222,-94.910
-0.630,0.618,0.761,-198.547,-74.097,-66.589
-0.529,0.601,0.734,-197.998,-70.435,-55.420
-0.412,0.574,0.867,-187.317,-29.785,-47.180
-0.311,0.562,1.016,-180.115,30.701,-34.851
-0.133,0.478,1.178,-174.194,103.333,-19.531
0.006,0.334,1.300,-163.208,175.781,-7.202
0.149,0.155,1.433,-144.775,232.178,-1.343
0.221,0.010,1.462,-125.183,258.057,-1.892
0.235,-0.130,1.471,-105.469,251.831,-7.629
0.184,-0.242,1.428,-87.952,213.318,-18.250
0.075,-0.322,1.304,-75.867,149.780,-33.264
-0.054,-0.387,1.117,-66.101,80.994,-46.692
-0.135,-0.429,0.918,-54.016,26.611,-54.688
-0.130,-0.438,0.764,-38.452,-3.784,-56.519
-0.100,-0.464,0.681,-23.743,-16.724,-49.316
-0.037,-0.509,0.617,-15.625,-22.095,-34.546
0.047,-0.536,0.563,-14.099,-24.963,-18.188
0.146,-0.552,0.523,-14.709,-22.766,-4.883
0.257,-0.582,0.506,-13.855,-13.428,5.249
0.330,-0.587,0.494,-11.414,-0.549,13.550
0.397,-0.590,0.475,-7.507,15.076,20.569
